County,FIPS
alachua,12001
baker,12003
bay,12005
bradford,12007
brevard,12009
broward,12011
calhoun,12013
charlotte,12015
citrus,12017
clay,12019
collier,12021
columbia,12023
desoto,12027
dixie,12029
duval,12031
escambia,12033
flagler,12035
franklin,12037
gadsden,12039
gilchrist,12041
glades,12043
gulf,12045
hamilton,12047
hardee,12049
hendry,12051
hernando,12053
highlands,12055
hillsborough,12057
holmes,12059
indian river,12061
jackson,12063
jefferson,12065
lafayette,12067
lake,12069
lee,12071
leon,12073
levy,12075
liberty,12077
madison,12079
manatee,12081
marion,12083
martin,12085
miami-dade,12086
monroe,12087
nassau,12089
okaloosa,12091
okeechobee,12093
orange,12095
osceola,12097
palm beach,12099
pasco,12101
pinellas,12103
polk,12105
putnam,12107
st. johns,12109
st. lucie,12111
santa rosa,12113
sarasota,12115
seminole,12117
sumter,12119
suwannee,12121
taylor,12123
union,12125
volusia,12127
wakulla,12129
walton,12131
washington,12133
